online

2/3 32 16 TRUE
Grid:     88.11%  -  256 elementos
Quadtree: 85.09%  -  91 elementos
Grid:     88.49%  -  256 elementos
Quadtree: 85.28%  -  97 elementos
Grid:     90.19%  -  256 elementos
Quadtree: 89.25%  -  94 elementos
Grid:     88.49%  -  256 elementos
Quadtree: 82.45%  -  97 elementos
Grid:     87.17%  -  256 elementos
Quadtree: 83.40%  -  103 elementos

1/4 32 16 TRUE
Grid:     87.17%  -  256 elementos
Quadtree: 83.40%  -  94 elementos
Grid:     85.85%  -  256 elementos
Quadtree: 84.53%  -  94 elementos
Grid:     85.47%  -  256 elementos
Quadtree: 82.26%  -  88 elementos
Grid:     86.04%  -  256 elementos
Quadtree: 82.83%  -  88 elementos
Grid:     86.79%  -  256 elementos
Quadtree: 80.75%  -  97 elementos

9/10 32 16 TRUE
Grid:     82.08%  -  256 elementos
Quadtree: 78.68%  -  88 elementos
Grid:     83.96%  -  256 elementos
Quadtree: 79.25%  -  88 elementos
Grid:     83.40%  -  256 elementos
Quadtree: 80.94%  -  97 elementos
Grid:     82.45%  -  256 elementos
Quadtree: 76.79%  -  97 elementos
Grid:     83.40%  -  256 elementos
Quadtree: 81.51%  -  94 elementos

2/3 3 16 TRUE
Grid:     81.63%  -  256 elementos
Quadtree: 60.95%  -  40 elementos
Grid:     84.63%  -  256 elementos
Quadtree: 60.95%  -  43 elementos
Grid:     84.45%  -  256 elementos
Quadtree: 59.19%  -  40 elementos
Grid:     82.16%  -  256 elementos
Quadtree: 59.54%  -  40 elementos
Grid:     81.80%  -  256 elementos
Quadtree: 58.48%  -  52 elementos

2/3 128 16 TRUE
Grid:     86.03%  -  256 elementos
Quadtree: 86.44%  -  121 elementos
Grid:     87.85%  -  256 elementos
Quadtree: 88.06%  -  118 elementos
Grid:     88.46%  -  256 elementos
Quadtree: 86.64%  -  115 elementos
Grid:     88.26%  -  256 elementos
Quadtree: 86.84%  -  115 elementos
Grid:     87.25%  -  256 elementos
Quadtree: 88.66%  -  103 elementos

2/3 32 8 TRUE
Grid:     82.64%  -  64 elementos
Quadtree: 87.55%  -  46 elementos
Grid:     78.11%  -  64 elementos
Quadtree: 83.58%  -  46 elementos
Grid:     76.60%  -  64 elementos
Quadtree: 84.15%  -  46 elementos
Grid:     77.55%  -  64 elementos
Quadtree: 82.08%  -  46 elementos
Grid:     76.79%  -  64 elementos
Quadtree: 82.45%  -  43 elementos

2/3 128 32 TRUE
Grid:     95.28%  -  1024 elementos
Quadtree: 84.91%  -  100 elementos
Grid:     94.15%  -  1024 elementos
Quadtree: 86.98%  -  97 elementos
Grid:     94.34%  -  1024 elementos
Quadtree: 84.15%  -  94 elementos
Grid:     94.34%  -  1024 elementos
